trade_index,trade_date,direction,signal_time,entry_time,entry_price,risk,stop_loss,target,original_exit_time,original_exit_reason,initial_move_r,pullback_r,initial_move_reached,initial_move_time,initial_extreme_price,initial_extreme_r,pullback_detected,pullback_time,pullback_price,pullback_depth_r,target_after_pullback,target_after_pullback_time,target_before_pullback,stop_before_pullback,stop_after_pullback,valid_pullback_target,clean_pullback_target
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,0.75,0.25,True,2026-07-13 10:45:00+05:30,1085.9,2.05707196029784,True,2026-07-13 10:55:00+05:30,1080.740625,0.25,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,0.75,0.5,True,2026-07-13 10:45:00+05:30,1085.9,2.05707196029784,True,2026-07-13 10:55:00+05:30,1079.48125,0.5,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,0.75,0.75,True,2026-07-13 10:45:00+05:30,1085.9,2.05707196029784,True,2026-07-13 11:05:00+05:30,1078.2218750000002,0.75,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,0.75,1.0,True,2026-07-13 10:45:00+05:30,1085.9,2.05707196029784,False,,,,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.0,0.25,True,2026-07-13 10:45:00+05:30,1085.9,2.05707196029784,True,2026-07-13 10:55:00+05:30,1080.740625,0.25,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.0,0.5,True,2026-07-13 10:45:00+05:30,1085.9,2.05707196029784,True,2026-07-13 10:55:00+05:30,1079.48125,0.5,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.0,0.75,True,2026-07-13 10:45:00+05:30,1085.9,2.05707196029784,True,2026-07-13 11:05:00+05:30,1078.2218750000002,0.75,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.0,1.0,True,2026-07-13 10:45:00+05:30,1085.9,2.05707196029784,False,,,,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.25,0.25,True,2026-07-13 10:50:00+05:30,1085.9,2.05707196029784,True,2026-07-13 10:55:00+05:30,1080.740625,0.25,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.25,0.5,True,2026-07-13 10:50:00+05:30,1085.9,2.05707196029784,True,2026-07-13 10:55:00+05:30,1079.48125,0.5,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.25,0.75,True,2026-07-13 10:50:00+05:30,1085.9,2.05707196029784,True,2026-07-13 11:05:00+05:30,1078.2218750000002,0.75,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.25,1.0,True,2026-07-13 10:50:00+05:30,1085.9,2.05707196029784,False,,,,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.5,0.25,True,2026-07-13 11:10:00+05:30,1085.9,2.05707196029784,False,,,,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.5,0.5,True,2026-07-13 11:10:00+05:30,1085.9,2.05707196029784,False,,,,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.5,0.75,True,2026-07-13 11:10:00+05:30,1085.9,2.05707196029784,False,,,,False,,False,False,False,False,False
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,2026-07-13 10:45:00+05:30,1075.5375,5.037499999999909,1070.5,1085.6124999999995,2026-07-13 11:10:00+05:30,TARGET,1.5,1.0,True,2026-07-13 11:10:00+05:30,1085.9,2.05707196029784,False,,,,False,,False,False,False,False,False
18,2026-07-14,SELL,2026-07-14 09:30:00+05:30,2026-07-14 09:35:00+05:30,1101.74885,4.951150000000098,1106.7,1091.8465499999998,2026-07-14 10:15:00+05:30,TARGET,0.5,0.25,True,2026-07-14 09:35:00+05:30,1091.7,2.029599184027893,True,2026-07-14 09:40:00+05:30,1099.2377875,0.25,False,,False,False,False,False,False
