variant,threshold_pct,entry_hour,trades,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r
EMA_GAP_0P2PCT,0.2,12:35,3,-0.6230316499999047,-0.20767721666663488,-1.704841746873684,-0.568280582291228
EMA_GAP_0P2PCT,0.2,12:40,2,-2.257593359999971,-1.1287966799999856,-1.5408542598039112,-0.7704271299019556
EMA_GAP_0P2PCT,0.2,12:45,1,0.11446714999999485,0.11446714999999485,0.327048999999984,0.327048999999984
EMA_GAP_0P2PCT,0.2,12:50,7,-1.4052565899997482,-0.20075094142853547,-2.4741114549290026,-0.3534444935612861
EMA_GAP_0P2PCT,0.2,12:55,2,-2.396044340000026,-1.198022170000013,-0.30836767843973273,-0.15418383921986636
EMA_GAP_0P2PCT,0.2,13:00,3,5.143300460000022,1.714433486666674,0.8591940346938933,0.2863980115646311
EMA_GAP_0P2PCT,0.2,13:05,2,-9.619134160000135,-4.809567080000067,-0.955651344637835,-0.4778256723189175
EMA_GAP_0P2PCT,0.2,13:15,3,-1.3303113950000212,-0.4434371316666737,-2.8698697929768215,-0.9566232643256072
EMA_GAP_0P2PCT,0.2,13:20,2,-4.074107774999984,-2.037053887499992,-1.356177102564094,-0.678088551282047
EMA_GAP_0P2PCT,0.2,13:25,2,-0.41068908000003734,-0.20534454000001867,-0.47202806148630083,-0.23601403074315042
EMA_GAP_0P2PCT,0.2,13:30,3,-5.357468940000093,-1.785822980000031,-1.1749801513240719,-0.39166005044135727
EMA_GAP_0P2PCT,0.2,13:35,1,-1.8147724500000262,-1.8147724500000262,-0.1544487191489384,-0.1544487191489384
EMA_GAP_0P2PCT,0.2,13:40,1,1.7951745749999701,1.7951745749999701,0.8548450357142854,0.8548450357142854
EMA_GAP_0P2PCT,0.2,13:45,1,-1.1650551200000074,-1.1650551200000074,-0.6563690816901534,-0.6563690816901534
EMA_GAP_0P2PCT,0.2,13:55,3,1.6512504499999776,0.5504168166666592,0.7711063127844018,0.2570354375948006
EMA_GAP_0P2PCT,0.2,14:00,2,-15.206970260000006,-7.603485130000003,-2.0409314785560704,-1.0204657392780352
EMA_GAP_0P2PCT,0.2,14:05,1,-4.627113249999988,-4.627113249999988,-1.1714210759493675,-1.1714210759493675
EMA_GAP_0P2PCT,0.2,14:10,5,-5.316493650000239,-1.0632987300000478,-2.0980708184421646,-0.4196141636884329
EMA_GAP_0P2PCT,0.2,14:15,4,9.688236785000008,2.422059196250002,2.4201859609030376,0.6050464902257594
EMA_GAP_0P2PCT,0.2,14:20,4,-11.454388909999844,-2.863597227499961,-0.5311198778796933,-0.13277996946992332
EMA_GAP_0P2PCT,0.2,14:25,3,0.35663656500006047,0.11887885500002016,-0.19756252992107193,-0.06585417664035731
EMA_GAP_0P2PCT,0.2,14:30,1,-0.6190532200000037,-0.6190532200000037,-1.1571088224299055,-1.1571088224299055
EMA_GAP_0P2PCT,0.2,14:35,2,1.5329202599999225,0.7664601299999613,1.69391103578945,0.846955517894725
EMA_GAP_0P2PCT,0.2,14:45,5,-12.486383399999879,-2.4972766799999757,-3.5266698582284253,-0.705333971645685
EMA_GAP_0P2PCT,0.2,14:50,2,0.9511511999999915,0.47557559999999577,0.5365416136363639,0.26827080681818194
EMA_GAP_0P2PCT,0.2,14:55,3,-0.21873116499999218,-0.07291038833333073,-1.131599036411337,-0.377199678803779
EMA_GAP_0P2PCT,0.2,15:00,4,-0.23313433999999716,-0.05828358499999929,-0.10546964478961493,-0.026367411197403733
EMA_GAP_0P2PCT,0.2,15:05,3,-0.5222403649999989,-0.1740801216666663,-1.1131272205896698,-0.37104240686322326
EMA_GAP_0P2PCT,0.2,15:10,2,-0.05999496499999822,-0.02999748249999911,-0.25328901530611103,-0.12664450765305552
EMA_GAP_0P2PCT,0.2,15:15,3,-9.735463214999855,-3.2451544049999517,-0.8898367685920866,-0.2966122561973622
EMA_GAP_0P2PCT,0.2,15:20,3,-7.330152230000191,-2.4433840766667303,-0.7429297817952005,-0.24764326059840017
EMA_GAP_0P2PCT,0.2,15:25,4,-10.756727890000102,-2.6891819725000254,-2.476371042330979,-0.6190927605827448
EMA_GAP_0P3PCT,0.3,09:35,102,-46.691341989999366,-0.45775825480391535,-30.546438733677533,-0.29947488954585816
EMA_GAP_0P3PCT,0.3,09:40,48,16.312193350000875,0.3398373614583516,8.528741864252057,0.17768212217191784
EMA_GAP_0P3PCT,0.3,09:45,24,1.4234491649991434,0.05931038187496431,-4.552951913706534,-0.18970632973777224
EMA_GAP_0P3PCT,0.3,09:50,42,-40.54801765500047,-0.9654289917857255,-8.04577029253794,-0.19156595934614143
EMA_GAP_0P3PCT,0.3,09:55,22,-7.116307030000367,-0.323468501363653,-4.419038501721018,-0.20086538644186447
EMA_GAP_0P3PCT,0.3,10:00,17,-52.06235347000002,-3.0624913805882366,-9.056253274294512,-0.5327207808408536
EMA_GAP_0P3PCT,0.3,10:05,15,-37.30164833500015,-2.486776555666677,-5.493896712936246,-0.36625978086241645
EMA_GAP_0P3PCT,0.3,10:10,13,-9.334628320000183,-0.7180483323077064,4.113569721203033,0.316428440092541
EMA_GAP_0P3PCT,0.3,10:15,8,36.42604244999993,4.553255306249992,3.244209862380208,0.405526232797526
EMA_GAP_0P3PCT,0.3,10:20,8,-5.744785520000019,-0.7180981900000024,-1.413709499603688,-0.176713687450461
EMA_GAP_0P3PCT,0.3,10:25,10,-9.603939790000009,-0.9603939790000009,1.3474706371661822,0.1347470637166182
EMA_GAP_0P3PCT,0.3,10:30,11,-22.089657265000117,-2.008150660454556,-1.8339404872170362,-0.166721862474276
EMA_GAP_0P3PCT,0.3,10:35,5,1.8067605900000232,0.36135211800000466,0.34604539435344794,0.06920907887068958
