sl_mode,target_r,symbol,trades,total_net_r,avg_net_r,profit_factor,win_rate_pct,stop_loss,target,end_of_day,avg_mfe_r,avg_mae_r
ATR_14_X2,1.0,INFY,758,-651.3495005546522,-0.8593001326578525,0.11955565062656635,32.849604221635886,371,290,97,0.6463090312773273,0.8647379115709849
ATR_14_X2,1.0,OLAELEC,772,-305.4260928840616,-0.3956296539948984,0.4135212448339129,43.652849740932645,346,326,100,0.8188461937550127,0.8709858471097943
ATR_14_X2,1.0,RELIANCE,819,-814.7310846440541,-0.9947876491380392,0.07629379106438101,26.73992673992674,407,289,123,0.6515646884933342,0.8806387171077044
ATR_14_X2,1.0,SUZLON,738,-515.2971007619681,-0.6982345538780055,0.2024927827882567,39.15989159891599,363,290,85,0.6875259147996245,0.8725708165605247
ATR_14_X2,1.0,TMPV,716,-553.6697898785185,-0.7732818294392716,0.15281216545439125,36.312849162011176,339,275,102,0.6815984237354632,0.8403901102310578
ATR_14_X2,1.25,ASHOKLEY,775,-530.2373276281069,-0.6841771969394927,0.24638704005969966,34.58064516129033,384,249,142,0.7760514665606705,0.9230584829635653
ATR_14_X2,1.25,ICICIBANK,811,-890.7688306369595,-1.0983586074438465,0.09366402930289824,26.017262638717632,457,223,131,0.6503972753666328,0.9243982582591556
ATR_14_X2,1.25,INFY,758,-657.9106921863192,-0.8679560582932971,0.15962997884008562,29.551451187335093,391,232,135,0.7212090319385134,0.8858932421672516
ATR_14_X2,1.25,OLAELEC,772,-292.48455117335067,-0.3788659989292107,0.47217124604552996,40.15544041450777,369,283,120,0.905964929017707,0.9171215455342586
ATR_14_X2,1.25,RELIANCE,819,-810.6410629988517,-0.9897937277153256,0.11755468005777085,27.96092796092796,427,245,147,0.7180883886219976,0.9054463880950829
ATR_14_X2,1.25,SUZLON,738,-493.6340522932767,-0.6688808296656865,0.2679081055240735,36.856368563685635,378,258,102,0.7728279792365278,0.898214092263325
ATR_14_X2,1.25,TMPV,716,-563.8970790780875,-0.7875657529023568,0.1899510643735888,32.82122905027933,362,217,137,0.7475036171845392,0.8713179302979074
ATR_14_X2,1.5,ASHOKLEY,775,-521.4494686328788,-0.6728380240424243,0.28488301846124225,31.74193548387097,396,210,169,0.8338280481209819,0.9347240046467525
ATR_14_X2,1.5,ICICIBANK,811,-902.307063919874,-1.1125857754868977,0.11809995994827517,23.181257706535142,470,181,160,0.7039748783213731,0.9436432025929236
ATR_14_X2,1.5,INFY,758,-645.8853305927105,-0.8520914651618872,0.1918813129977266,27.83641160949868,397,193,168,0.7783615321906556,0.8922661151590019
ATR_14_X2,1.5,OLAELEC,772,-293.1819522860112,-0.3797693682461285,0.4963162330230057,36.917098445595855,386,236,150,0.9813365973813926,0.9395189250386579
ATR_14_X2,1.5,RELIANCE,819,-810.8350307370282,-0.990030562560474,0.14559560665509377,25.64102564102564,439,200,180,0.7734256881448384,0.9203277835221044
ATR_14_X2,1.5,SUZLON,738,-491.95144558196796,-0.6666008747723143,0.30211728368280544,33.46883468834688,391,217,130,0.8452284040564557,0.9200391604156957
ATR_14_X2,1.5,TMPV,716,-558.8844202804,-0.7805648327938548,0.22116337494680322,30.307262569832403,372,179,165,0.8079187433521028,0.8868595026926834
ATR_14_X2,1.75,ASHOKLEY,775,-525.9404232561503,-0.6786328042014843,0.29924119292754353,29.29032258064516,404,173,198,0.8860251955777113,0.9479717969067817
ATR_14_X2,1.75,ICICIBANK,811,-890.9763044001747,-1.0986144320594016,0.13998683326979375,21.701602959309493,475,150,186,0.7416142515607912,0.9480143707879116
ATR_14_X2,1.75,INFY,758,-653.6397842665422,-0.8623216151273644,0.206779883837931,25.593667546174142,407,153,198,0.8244759733129063,0.9017760435352031
ATR_14_X2,1.75,OLAELEC,772,-285.0885360991161,-0.3692856685221711,0.5238413985930841,35.233160621761655,396,201,175,1.0434525408743305,0.9585846656469176
ATR_14_X2,1.75,RELIANCE,819,-826.725951495768,-1.0094333962097288,0.1594422519579156,22.71062271062271,454,163,202,0.8178814183428487,0.9354734808426621
ATR_14_X2,1.75,SUZLON,738,-482.23317608641173,-0.6534324879219671,0.3317569518645492,31.16531165311653,398,185,155,0.9002367739429463,0.93258331084921
ATR_14_X2,1.75,TMPV,716,-548.5127035149133,-0.7660791948532308,0.25036212503458655,28.49162011173184,377,155,184,0.8720542095559872,0.8953615045175398
ATR_14_X2,2.0,ASHOKLEY,775,-511.1626091793469,-0.6595646570056088,0.32341566990031806,28.387096774193548,405,145,225,0.9185729631308667,0.9496325647249183
