SYMBOL,SL_MODE,TARGET_R,FROZEN_ENTRIES,VALID_ENTRIES,INVALID_RISK_ENTRIES,TRADES,STOP_LOSS,TARGET,END_OF_DAY,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,AVG_MFE_R,P90_MFE_R,AVG_MAE_R,P90_MAE_R
TMPV,ORB_50,3.0,270,269,1,269,137,30,102,29.36802973977695,-244.17166432863732,-0.9077013543815514,0.4952759376279546,252.69905882336218,1.5671394664024494,3.3399161990950472,1.655258266981971,3.441066959122721
TMPV,VWAP_MIDDLE,3.0,270,269,1,269,156,31,82,27.509293680297397,-296.41779879792216,-1.1019249025945062,0.4086782016160413,300.02258839359934,2.062376314954606,4.229878936691319,2.2998042491461868,4.094535326967154
ASHOKLEY,ORB,1.0,255,255,0,255,49,57,149,41.96078431372549,-100.21724215777475,-0.39300879277558726,0.5954545999116146,101.82506335777478,0.6345408125912809,1.4738439477869232,0.6548715677989464,1.4780481593636463
ASHOKLEY,ORB_50,1.0,255,255,0,255,102,107,46,45.88235294117647,-93.91274558136747,-0.3682852767896764,0.4688995336022247,95.52056678136759,1.5297525604648456,3.822758736842123,1.536861201653017,3.489414890885694
ASHOKLEY,VWAP_MIDDLE,1.0,255,255,0,255,103,109,43,46.666666666666664,-93.77420345820752,-0.3677419743459119,0.42457370475863304,96.76671925810115,1.6748458225530884,3.7241217681085335,1.7348134282256915,4.251043684865402
ASHOKLEY,ORB,1.25,255,255,0,255,50,37,168,40.3921568627451,-101.12080611227064,-0.3965521808324339,0.5971486672178414,102.72862731227066,0.6345408125912809,1.4738439477869232,0.6548715677989464,1.4780481593636463
ASHOKLEY,ORB_50,1.25,255,255,0,255,109,86,60,41.568627450980394,-97.26496820562005,-0.3814312478651767,0.4922400812065901,98.87278940562015,1.5297525604648456,3.822758736842123,1.536861201653017,3.489414890885694
ASHOKLEY,VWAP_MIDDLE,1.25,255,255,0,255,109,95,51,44.70588235294118,-88.56052337503625,-0.34729617009818137,0.48710813952768245,91.81716394886293,1.6748458225530884,3.7241217681085335,1.7348134282256915,4.251043684865402
ASHOKLEY,ORB,1.5,255,255,0,255,51,24,180,39.6078431372549,-103.43321607643124,-0.4056204552016911,0.5934033052972165,105.04103727643124,0.6345408125912809,1.4738439477869232,0.6548715677989464,1.4780481593636463
ASHOKLEY,ORB_50,1.5,255,255,0,255,113,72,70,39.6078431372549,-98.3822272111802,-0.3858126557301184,0.5055030490147913,99.99004841118024,1.5297525604648456,3.822758736842123,1.536861201653017,3.489414890885694
ASHOKLEY,VWAP_MIDDLE,1.5,255,255,0,255,115,80,60,40.78431372549019,-88.66079793295847,-0.3476894036586607,0.5148452174023791,90.26861913295856,1.6748458225530884,3.7241217681085335,1.7348134282256915,4.251043684865402
ASHOKLEY,ORB,1.75,255,255,0,255,51,15,189,39.6078431372549,-101.87940764585639,-0.39952708880727994,0.5995113370885341,103.48722884585638,0.6345408125912809,1.4738439477869232,0.6548715677989464,1.4780481593636463
ASHOKLEY,ORB_50,1.75,255,255,0,255,116,63,76,38.43137254901961,-91.10960886146282,-0.35729258377044243,0.5491787986595288,92.71743006146286,1.5297525604648456,3.822758736842123,1.536861201653017,3.489414890885694
ASHOKLEY,VWAP_MIDDLE,1.75,255,255,0,255,115,73,67,40.0,-75.86994097168737,-0.29752918028112696,0.5864471186842548,77.66234203076694,1.6748458225530884,3.7241217681085335,1.7348134282256915,4.251043684865402
